id;start_date;end_date;description;status
1;2020-12-08T21:16:55;2020-12-08T01:09:51;../fake-data/blob/hipster.txt;REJECT
2;2020-12-08T03:23:14;2020-12-07T23:45:20;../fake-data/blob/hipster.txt;NEW
3;2020-12-08T05:46:34;2020-12-08T18:07:53;../fake-data/blob/hipster.txt;NEW
4;2020-12-08T14:21:11;2020-12-08T11:38:18;../fake-data/blob/hipster.txt;NEW
5;2020-12-08T18:50:49;2020-12-08T20:33:46;../fake-data/blob/hipster.txt;REJECT
6;2020-12-08T11:54:26;2020-12-07T22:19:07;../fake-data/blob/hipster.txt;REJECT
7;2020-12-08T08:51:46;2020-12-08T02:56:26;../fake-data/blob/hipster.txt;NEW
8;2020-12-08T18:51:48;2020-12-08T05:08:25;../fake-data/blob/hipster.txt;NEW
9;2020-12-08T07:39:18;2020-12-08T20:32:20;../fake-data/blob/hipster.txt;DONE
10;2020-12-08T13:32:49;2020-12-08T16:07:23;../fake-data/blob/hipster.txt;NEW
